absence_days,biology_score,career_aspiration,chemistry_score,economics_score,email,english_score,extracurricular_activities,first_name,gender,geography_score,history_score,id,last_name,math_score,part_time_job,physics_score,weekly_self_study_hours
3,96,Lawyer,79,,taylor.nelson.463@gslingacademy.com,90,True,Taylor,female,89,93,463,Nelson,79,False,63,32
1,97,Doctor,73,,kimberly.west.464@gslingacademy.com,68,False,Kimberly,female,68,63,464,West,65,False,73,33
2,50,Business Owner,73,,brad.lee.465@gslingacademy.com,93,True,Brad,male,72,90,465,Lee,77,True,88,4
1,77,Software Engineer,67,,clayton.green.466@gslingacademy.com,83,False,Clayton,male,64,88,466,Green,99,False,92,34
5,64,Construction Engineer,80,,richard.anderson.467@gslingacademy.com,66,False,Richard,male,97,95,467,Anderson,86,False,94,17
2,93,Doctor,69,,antonio.flores.468@gslingacademy.com,69,False,Antonio,male,60,69,468,Flores,79,False,83,23
0,72,Software Engineer,85,,margaret.mullins.469@gslingacademy.com,90,False,Margaret,female,71,82,469,Mullins,90,False,90,33
2,74,Software Engineer,83,,michael.ball.470@gslingacademy.com,87,False,Michael,male,74,85,470,Ball,99,False,87,26
4,63,Banker,60,,allen.booth.471@gslingacademy.com,93,True,Allen,male,67,71,471,Booth,83,True,94,26
7,96,Real Estate Developer,98,,stephanie.clark.472@gslingacademy.com,79,False,Stephanie,female,87,93,472,Clark,88,False,99,7
6,66,Real Estate Developer,73,,sharon.nelson.473@gslingacademy.com,69,False,Sharon,female,91,68,473,Nelson,89,False,92,4
6,92,Doctor,82,,marco.clark.474@gslingacademy.com,71,False,Marco,male,66,65,474,Clark,64,False,62,22
6,79,Business Owner,94,,victor.smith.475@gslingacademy.com,92,True,Victor,male,82,78,475,Smith,73,True,64,4
3,90,Lawyer,100,,christina.patterson.476@gslingacademy.com,90,True,Christina,female,90,93,476,Patterson,78,False,69,29
8,72,Stock Investor,79,,jerry.knight.477@gslingacademy.com,76,True,Jerry,male,85,79,477,Knight,87,False,93,21
3,63,Real Estate Developer,84,,madison.jacobs.478@gslingacademy.com,62,False,Madison,female,90,87,478,Jacobs,81,False,100,5
5,91,Unknown,85,,douglas.watson.479@gslingacademy.com,83,False,Douglas,male,84,84,479,Watson,63,False,60,15
3,71,Unknown,100,,manuel.barrett.480@gslingacademy.com,92,True,Manuel,male,63,98,480,Barrett,100,False,71,10
7,67,Business Owner,87,,janet.martin.481@gslingacademy.com,74,True,Janet,female,71,54,481,Martin,76,True,81,2
4,94,Real Estate Developer,62,,teresa.flores.482@gslingacademy.com,69,True,Teresa,female,91,77,482,Flores,77,False,71,0
5,48,Artist,36,,anthony.mullins.483@gslingacademy.com,83,True,Anthony,male,45,89,483,Mullins,38,False,44,6
6,98,Unknown,98,,julie.zamora.484@gslingacademy.com,60,True,Julie,female,65,82,484,Zamora,76,False,93,1
3,88,Accountant,91,93.0,maria.nguyen.485@gslingacademy.com,61,True,Maria,female,61,83,485,Nguyen,96,False,80,26
5,78,Business Owner,61,,selena.castro.486@gslingacademy.com,77,True,Selena,female,81,96,486,Castro,72,True,65,2
3,95,Unknown,91,,whitney.miller.487@gslingacademy.com,70,False,Whitney,female,75,89,487,Miller,97,False,94,21
10,93,Business Owner,53,,brenda.mooney.488@gslingacademy.com,78,True,Brenda,female,80,60,488,Mooney,84,False,97,5
10,94,Business Owner,74,,angela.allen.489@gslingacademy.com,74,True,Angela,female,81,93,489,Allen,73,True,64,5
5,73,Business Owner,78,,erica.cohen.490@gslingacademy.com,90,True,Erica,female,78,67,490,Cohen,84,False,50,0
5,62,Teacher,75,,kelly.sanders.491@gslingacademy.com,84,True,Kelly,female,94,82,491,Sanders,83,False,76,22
5,43,Artist,49,,michael.clark.492@gslingacademy.com,82,True,Michael,male,37,80,492,Clark,43,False,41,3
5,76,Banker,64,,tammy.fields.493@gslingacademy.com,77,True,Tammy,female,61,96,493,Fields,100,False,97,24
4,96,Doctor,84,,steven.pennington.494@gslingacademy.com,76,False,Steven,male,67,80,494,Pennington,84,False,60,46
3,99,Writer,68,,matthew.chavez.495@gslingacademy.com,95,True,Matthew,male,79,88,495,Chavez,88,False,65,31
1,64,Lawyer,76,,stephen.gallagher.496@gslingacademy.com,86,True,Stephen,male,79,91,496,Gallagher,95,False,62,33
5,80,Stock Investor,80,,victoria.anderson.497@gslingacademy.com,84,False,Victoria,female,70,78,497,Anderson,81,False,84,26
2,69,Accountant,97,94.0,thomas.schroeder.498@gslingacademy.com,78,False,Thomas,male,87,93,498,Schroeder,91,False,72,19
3,71,Software Engineer,68,,mark.sanchez.499@gslingacademy.com,85,False,Mark,male,70,70,499,Sanchez,93,False,90,38
3,94,Accountant,90,88.0,katelyn.moses.500@gslingacademy.com,76,False,Katelyn,female,88,96,500,Moses,98,False,78,24
1,94,Stock Investor,100,,corey.davis.501@gslingacademy.com,77,False,Corey,male,84,81,501,Davis,84,False,72,21
8,87,Business Owner,67,,susan.klein.502@gslingacademy.com,76,True,Susan,female,76,99,502,Klein,76,True,81,0
4,86,Banker,95,,john.martinez.503@gslingacademy.com,89,False,John,male,100,79,503,Martinez,91,False,78,30
4,72,Software Engineer,61,,kendra.robertson.504@gslingacademy.com,92,False,Kendra,female,70,99,504,Robertson,96,False,87,26
8,68,Unknown,93,,tamara.olson.505@gslingacademy.com,75,False,Tamara,female,90,80,505,Olson,81,False,85,15
6,91,Government Officer,83,,sara.frazier.506@gslingacademy.com,75,False,Sara,female,94,94,506,Frazier,97,False,94,15
3,92,Game Developer,93,,morgan.moore.507@gslingacademy.com,99,True,Morgan,female,88,95,507,Moore,93,False,85,24
1,76,Software Engineer,82,,eric.snyder.508@gslingacademy.com,70,True,Eric,male,64,91,508,Snyder,94,False,92,35
5,84,Construction Engineer,61,,paul.hale.509@gslingacademy.com,81,False,Paul,male,82,92,509,Hale,93,False,93,33
7,60,Software Engineer,74,,dale.martinez.510@gslingacademy.com,77,False,Dale,male,77,94,510,Martinez,95,False,89,25
0,84,Lawyer,74,,sandra.prince.511@gslingacademy.com,92,True,Sandra,female,65,93,511,Prince,70,False,67,29
2,63,Unknown,96,,dawn.poole.512@gslingacademy.com,82,False,Dawn,female,80,75,512,Poole,60,False,70,13
3,91,Doctor,82,,emily.jordan.513@gslingacademy.com,73,False,Emily,female,66,74,513,Jordan,68,False,61,49
6,63,Lawyer,69,,john.owen.514@gslingacademy.com,93,True,John,male,68,99,514,Owen,82,False,72,34
4,85,Construction Engineer,69,,andrew.best.515@gslingacademy.com,71,False,Andrew,male,95,79,515,Best,93,True,90,28
2,99,Doctor,62,,holly.burns.516@gslingacademy.com,70,False,Holly,female,65,64,516,Burns,74,False,81,44
1,91,Software Engineer,72,,alicia.rodriguez.517@gslingacademy.com,88,False,Alicia,female,93,87,517,Rodriguez,96,False,85,28
4,63,Real Estate Developer,98,,erin.ray.518@gslingacademy.com,66,False,Erin,female,93,61,518,Ray,79,False,84,1
6,75,Software Engineer,61,,todd.griffith.519@gslingacademy.com,62,False,Todd,male,94,92,519,Griffith,91,False,93,25
2,89,Teacher,97,,melinda.payne.520@gslingacademy.com,87,False,Melinda,female,66,84,520,Payne,95,False,91,18
3,88,Unknown,63,,cynthia.williams.521@gslingacademy.com,64,False,Cynthia,female,60,98,521,Williams,69,False,77,2
9,56,Business Owner,62,,jenny.washington.522@gslingacademy.com,91,True,Jenny,female,71,55,522,Washington,71,False,65,3
5,83,Banker,98,,angela.joyce.523@gslingacademy.com,75,False,Angela,female,72,100,523,Joyce,92,False,100,28
2,53,Business Owner,82,,william.alvarado.524@gslingacademy.com,59,True,William,male,75,95,524,Alvarado,70,True,78,0
5,96,Banker,70,,michael.mercer.525@gslingacademy.com,75,False,Michael,male,93,87,525,Mercer,97,False,90,22
8,63,Business Owner,95,,erin.miller.526@gslingacademy.com,57,True,Erin,female,72,96,526,Miller,79,True,77,3
2,98,Unknown,79,,robert.heath.527@gslingacademy.com,71,False,Robert,male,89,91,527,Heath,72,False,68,25
3,55,Business Owner,72,,deborah.rojas.528@gslingacademy.com,50,True,Deborah,female,74,55,528,Rojas,84,False,96,1
7,98,Doctor,79,,diana.jones.529@gslingacademy.com,79,False,Diana,female,68,76,529,Jones,71,False,81,37
3,63,Software Engineer,72,,meredith.clark.530@gslingacademy.com,84,True,Meredith,female,99,77,530,Clark,97,False,93,32
3,94,Scientist,92,,christina.garrett.531@gslingacademy.com,99,False,Christina,female,94,76,531,Garrett,94,False,93,30
1,100,Stock Investor,69,,daniel.jackson.532@gslingacademy.com,88,False,Daniel,male,79,77,532,Jackson,81,False,66,19
7,85,Business Owner,81,,bradley.robinson.533@gslingacademy.com,55,True,Bradley,male,81,92,533,Robinson,71,True,70,2
4,89,Unknown,73,,phyllis.schneider.534@gslingacademy.com,77,False,Phyllis,female,66,87,534,Schneider,71,True,63,26
10,92,Business Owner,66,,thomas.clark.535@gslingacademy.com,57,True,Thomas,male,76,79,535,Clark,78,False,74,0
4,65,Game Developer,64,,gregory.gonzalez.536@gslingacademy.com,78,False,Gregory,male,83,70,536,Gonzalez,89,False,83,29
0,77,Software Engineer,91,,michelle.roth.537@gslingacademy.com,88,False,Michelle,female,75,69,537,Roth,91,False,90,31
2,92,Lawyer,72,,christopher.murphy.538@gslingacademy.com,87,True,Christopher,male,89,92,538,Murphy,98,False,76,26
2,81,Unknown,61,,mark.davis.539@gslingacademy.com,72,False,Mark,male,98,83,539,Davis,87,False,74,32
6,68,Software Engineer,92,,lauren.harrington.540@gslingacademy.com,97,True,Lauren,female,73,96,540,Harrington,97,False,94,36
8,89,Business Owner,64,,michelle.owens.541@gslingacademy.com,76,True,Michelle,female,76,52,541,Owens,71,True,53,2
2,99,Construction Engineer,95,,scott.weaver.542@gslingacademy.com,95,False,Scott,male,99,90,542,Weaver,87,False,89,35
0,56,Accountant,65,90.0,monica.williams.543@gslingacademy.com,79,False,Monica,female,98,95,543,Williams,99,False,99,17
9,79,Business Owner,84,,kathryn.hampton.544@gslingacademy.com,66,True,Kathryn,female,76,92,544,Hampton,74,False,63,3
3,91,Doctor,73,,christina.shields.545@gslingacademy.com,72,False,Christina,female,67,61,545,Shields,73,True,68,47
0,85,Lawyer,63,,andrew.thomas.546@gslingacademy.com,94,True,Andrew,male,75,90,546,Thomas,98,False,75,29
10,58,Business Owner,97,,holly.sexton.547@gslingacademy.com,51,True,Holly,female,70,58,547,Sexton,77,False,54,5
3,84,Designer,99,,christopher.peterson.548@gslingacademy.com,80,True,Christopher,male,86,89,548,Peterson,66,False,65,17
2,91,Doctor,72,,eric.murray.549@gslingacademy.com,84,False,Eric,male,83,60,549,Murray,65,False,77,35
0,64,Game Developer,89,,kristina.watson.550@gslingacademy.com,63,False,Kristina,female,82,90,550,Watson,93,True,84,27
8,90,Business Owner,88,,greg.martin.551@gslingacademy.com,91,True,Greg,male,79,54,551,Martin,73,True,50,2
10,97,Software Engineer,94,,paul.shaffer.552@gslingacademy.com,98,False,Paul,male,98,100,552,Shaffer,95,False,94,32
1,98,Government Officer,98,,alexander.daniel.553@gslingacademy.com,82,False,Alexander,male,90,89,553,Daniel,69,True,84,7
4,66,Software Engineer,73,,carla.davis.554@gslingacademy.com,90,False,Carla,female,91,71,554,Davis,93,False,87,29
1,67,Stock Investor,90,,chelsea.clark.555@gslingacademy.com,81,False,Chelsea,female,66,75,555,Clark,83,False,95,3
2,94,Unknown,100,,justin.douglas.556@gslingacademy.com,93,False,Justin,male,86,92,556,Douglas,96,False,98,35
3,89,Lawyer,69,,charles.reid.557@gslingacademy.com,90,True,Charles,male,85,97,557,Reid,76,False,99,28
9,77,Business Owner,65,,courtney.moreno.558@gslingacademy.com,77,True,Courtney,female,70,62,558,Moreno,77,False,94,4
1,36,Artist,47,,justin.mitchell.559@gslingacademy.com,89,True,Justin,male,48,89,559,Mitchell,47,False,38,4
3,64,Software Engineer,75,,bruce.woods.560@gslingacademy.com,76,True,Bruce,male,66,61,560,Woods,97,False,86,34
1,66,Accountant,84,89.0,christopher.hines.561@gslingacademy.com,61,False,Christopher,male,72,64,561,Hines,90,False,94,26
3,99,Unknown,75,,theodore.williams.562@gslingacademy.com,89,False,Theodore,male,71,89,562,Williams,96,False,73,30
6,71,Business Owner,73,,jennifer.valdez.563@gslingacademy.com,71,True,Jennifer,female,75,81,563,Valdez,72,True,92,2
2,92,Software Engineer,73,,alexandra.day.564@gslingacademy.com,91,False,Alexandra,female,71,83,564,Day,99,False,91,25
10,67,Business Owner,64,,john.pacheco.565@gslingacademy.com,93,True,John,male,81,75,565,Pacheco,70,False,91,0
10,43,Artist,37,,sherry.brown.566@gslingacademy.com,81,True,Sherry,female,45,85,566,Brown,39,False,40,3
2,96,Software Engineer,77,,douglas.clark.567@gslingacademy.com,96,False,Douglas,male,74,97,567,Clark,95,False,94,35
3,82,Construction Engineer,64,,alex.farmer.568@gslingacademy.com,94,True,Alex,male,81,96,568,Farmer,86,True,86,15
8,94,Business Owner,72,,brandon.gonzales.569@gslingacademy.com,88,True,Brandon,male,77,65,569,Gonzales,72,False,77,1
3,85,Government Officer,82,,wayne.trevino.570@gslingacademy.com,76,True,Wayne,male,89,94,570,Trevino,84,False,92,6
7,71,Game Developer,100,,pamela.horne.571@gslingacademy.com,98,True,Pamela,female,96,88,571,Horne,86,False,86,24
9,77,Business Owner,51,,michael.schaefer.572@gslingacademy.com,72,True,Michael,male,82,78,572,Schaefer,80,True,68,5
1,92,Banker,88,,carlos.ramirez.573@gslingacademy.com,77,False,Carlos,male,84,92,573,Ramirez,75,False,72,30
3,81,Government Officer,73,,antonio.lucero.574@gslingacademy.com,75,True,Antonio,male,93,85,574,Lucero,67,False,70,8
9,75,Business Owner,72,,terry.ashley.575@gslingacademy.com,60,True,Terry,male,81,54,575,Ashley,77,True,51,5
1,44,Artist,36,,rita.cochran.576@gslingacademy.com,93,True,Rita,female,47,93,576,Cochran,38,False,41,3
4,86,Government Officer,68,,joseph.gregory.577@gslingacademy.com,82,False,Joseph,male,86,85,577,Gregory,78,False,76,4
1,94,Doctor,63,,alexandra.robinson.578@gslingacademy.com,66,False,Alexandra,female,83,76,578,Robinson,70,False,65,47
3,100,Stock Investor,61,,tina.sparks.579@gslingacademy.com,65,True,Tina,female,81,80,579,Sparks,84,False,69,16
5,79,Business Owner,68,,christopher.buchanan.580@gslingacademy.com,83,True,Christopher,male,83,59,580,Buchanan,77,True,89,3
5,100,Scientist,95,,christina.guerrero.581@gslingacademy.com,91,True,Christina,female,74,75,581,Guerrero,88,False,96,41
2,76,Banker,69,,jessica.hutchinson.582@gslingacademy.com,92,False,Jessica,female,94,91,582,Hutchinson,89,False,85,31
3,72,Real Estate Developer,92,,tyler.carrillo.583@gslingacademy.com,97,False,Tyler,male,87,88,583,Carrillo,83,False,74,6
3,99,Unknown,65,,lindsay.brady.584@gslingacademy.com,74,False,Lindsay,female,62,70,584,Brady,99,False,74,16
6,78,Lawyer,74,,gary.rivera.585@gslingacademy.com,87,True,Gary,male,82,94,585,Rivera,89,False,85,34
3,80,Software Engineer,78,,luke.moore.586@gslingacademy.com,67,False,Luke,male,97,63,586,Moore,96,False,87,25
6,61,Banker,65,,tanya.green.587@gslingacademy.com,88,False,Tanya,female,95,65,587,Green,79,False,91,21
3,92,Doctor,81,,bryan.lee.588@gslingacademy.com,79,False,Bryan,male,69,81,588,Lee,81,False,81,46
6,96,Doctor,70,,melanie.bridges.589@gslingacademy.com,74,False,Melanie,female,68,75,589,Bridges,77,False,66,48
1,97,Doctor,78,,eric.bowers.590@gslingacademy.com,82,False,Eric,male,79,64,590,Bowers,65,True,77,46
3,85,Unknown,97,,meredith.reed.591@gslingacademy.com,94,False,Meredith,female,60,80,591,Reed,95,True,64,28
4,71,Unknown,95,,david.brown.592@gslingacademy.com,85,False,David,male,87,62,592,Brown,80,True,84,2
0,67,Stock Investor,85,,william.johns.593@gslingacademy.com,91,False,William,male,98,84,593,Johns,81,True,73,32
10,62,Business Owner,61,,eric.patton.594@gslingacademy.com,77,True,Eric,male,81,95,594,Patton,77,True,99,5
4,81,Lawyer,94,,wendy.warner.595@gslingacademy.com,85,True,Wendy,female,78,99,595,Warner,80,False,93,31
4,37,Artist,49,,timothy.powell.596@gslingacademy.com,91,True,Timothy,male,39,92,596,Powell,39,False,45,3
9,74,Business Owner,67,,victoria.thompson.597@gslingacademy.com,71,True,Victoria,female,74,63,597,Thompson,79,True,91,4
2,99,Real Estate Developer,66,,jeremy.brown.598@gslingacademy.com,91,True,Jeremy,male,94,84,598,Brown,81,False,95,8
3,46,Accountant,93,92.0,barbara.schneider.599@gslingacademy.com,91,True,Barbara,female,70,73,599,Schneider,91,False,83,23
1,91,Doctor,65,,lindsay.morales.600@gslingacademy.com,74,False,Lindsay,female,74,60,600,Morales,67,False,61,23
1,75,Lawyer,89,,gary.patel.601@gslingacademy.com,86,True,Gary,male,92,92,601,Patel,91,False,98,28
1,80,Unknown,62,,michelle.ortiz.602@gslingacademy.com,88,False,Michelle,female,83,62,602,Ortiz,85,False,77,7
0,38,Artist,40,,susan.lynch.603@gslingacademy.com,80,True,Susan,female,38,88,603,Lynch,43,False,36,4
2,98,Unknown,67,,tammy.hernandez.604@gslingacademy.com,61,False,Tammy,female,64,91,604,Hernandez,60,False,85,4
2,100,Unknown,60,,jennifer.guerra.605@gslingacademy.com,63,False,Jennifer,female,64,85,605,Guerra,76,False,67,26
4,86,Lawyer,79,,kelly.schwartz.606@gslingacademy.com,87,True,Kelly,female,95,93,606,Schwartz,84,False,74,33
4,77,Lawyer,84,,brittany.orozco.607@gslingacademy.com,93,True,Brittany,female,85,93,607,Orozco,87,False,74,34
4,93,Accountant,75,94.0,samantha.alvarado.608@gslingacademy.com,82,False,Samantha,female,60,79,608,Alvarado,96,True,64,16
4,87,Business Owner,70,,christopher.anderson.609@gslingacademy.com,75,True,Christopher,male,81,61,609,Anderson,78,False,73,3
3,84,Lawyer,84,,william.smith.610@gslingacademy.com,94,True,William,male,82,98,610,Smith,77,False,88,25
0,66,Stock Investor,69,,courtney.patterson.611@gslingacademy.com,93,False,Courtney,female,94,79,611,Patterson,85,False,90,4
0,84,Real Estate Developer,88,,kevin.hess.612@gslingacademy.com,89,False,Kevin,male,87,84,612,Hess,87,False,76,4
3,67,Software Engineer,78,,melissa.higgins.613@gslingacademy.com,86,False,Melissa,female,71,90,613,Higgins,96,False,93,28
7,95,Business Owner,67,,elizabeth.chavez.614@gslingacademy.com,98,True,Elizabeth,female,83,99,614,Chavez,81,False,61,4
3,72,Writer,96,,mary.taylor.615@gslingacademy.com,90,True,Mary,female,65,87,615,Taylor,80,False,80,24
2,79,Unknown,70,,joshua.parker.616@gslingacademy.com,60,False,Joshua,male,92,89,616,Parker,90,False,98,16
10,50,Business Owner,98,,joshua.kelly.617@gslingacademy.com,90,True,Joshua,male,80,51,617,Kelly,75,False,52,2
3,90,Software Engineer,93,,travis.ross.618@gslingacademy.com,91,False,Travis,male,88,85,618,Ross,97,False,92,30
2,96,Doctor,66,,kenneth.buchanan.619@gslingacademy.com,63,False,Kenneth,male,78,76,619,Buchanan,63,False,72,24
2,97,Doctor,80,,ryan.clarke.620@gslingacademy.com,66,True,Ryan,male,74,84,620,Clarke,81,False,77,46
6,55,Business Owner,67,,gina.solomon.621@gslingacademy.com,64,True,Gina,female,83,55,621,Solomon,70,False,89,1
5,64,Unknown,85,,david.madden.622@gslingacademy.com,95,False,David,male,96,75,622,Madden,90,False,67,26
1,66,Unknown,67,,william.brennan.623@gslingacademy.com,71,False,William,male,66,95,623,Brennan,79,False,81,5
5,62,Teacher,66,,judy.mckenzie.624@gslingacademy.com,85,False,Judy,female,90,85,624,Mckenzie,86,True,98,17
3,45,Artist,39,,logan.lindsey.625@gslingacademy.com,83,True,Logan,male,39,86,625,Lindsey,37,False,39,5
6,65,Lawyer,95,,kyle.williams.626@gslingacademy.com,91,True,Kyle,male,95,96,626,Williams,85,False,62,27
3,47,Artist,49,,mark.padilla.627@gslingacademy.com,93,True,Mark,male,37,92,627,Padilla,42,False,41,3
6,43,Accountant,62,91.0,eugene.clark.628@gslingacademy.com,68,True,Eugene,male,67,80,628,Clark,98,False,60,16
6,71,Unknown,95,,sean.wagner.629@gslingacademy.com,61,True,Sean,male,62,89,629,Wagner,65,False,79,14
2,92,Real Estate Developer,83,,christine.larson.630@gslingacademy.com,82,False,Christine,female,92,66,630,Larson,82,True,98,5
3,65,Banker,70,,melinda.freeman.631@gslingacademy.com,89,True,Melinda,female,64,80,631,Freeman,90,False,84,31
2,49,Artist,36,,elizabeth.smith.632@gslingacademy.com,93,True,Elizabeth,female,37,94,632,Smith,38,False,46,5
1,40,Artist,47,,walter.king.633@gslingacademy.com,94,True,Walter,male,48,92,633,King,47,False,45,5
1,60,Writer,84,,lisa.bean.634@gslingacademy.com,97,True,Lisa,female,93,89,634,Bean,98,False,99,11
8,76,Unknown,67,,douglas.hayes.635@gslingacademy.com,82,True,Douglas,male,79,75,635,Hayes,76,False,74,12
0,67,Game Developer,70,,heather.jefferson.636@gslingacademy.com,71,False,Heather,female,70,62,636,Jefferson,89,False,82,34
6,87,Business Owner,99,,melinda.byrd.637@gslingacademy.com,58,True,Melinda,female,83,60,637,Byrd,84,True,95,1
5,47,Artist,37,,alexander.burnett.638@gslingacademy.com,80,True,Alexander,male,37,94,638,Burnett,36,False,35,7
10,88,Business Owner,61,,maria.campos.639@gslingacademy.com,67,True,Maria,female,72,84,639,Campos,72,True,84,1
2,84,Stock Investor,77,,lindsey.anthony.640@gslingacademy.com,71,True,Lindsey,female,71,77,640,Anthony,88,False,89,30
6,70,Business Owner,93,,darryl.schultz.641@gslingacademy.com,56,True,Darryl,male,74,100,641,Schultz,82,False,84,0
2,93,Unknown,60,,bethany.french.642@gslingacademy.com,61,True,Bethany,female,96,77,642,French,99,False,88,6
6,47,Accountant,80,88.0,tyler.scott.643@gslingacademy.com,85,True,Tyler,male,71,62,643,Scott,97,False,86,24
7,85,Lawyer,89,,patricia.hall.644@gslingacademy.com,93,True,Patricia,female,68,97,644,Hall,80,False,85,26
7,77,Business Owner,50,,ryan.williams.645@gslingacademy.com,98,True,Ryan,male,80,74,645,Williams,84,False,92,0
1,75,Software Engineer,61,,levi.mason.646@gslingacademy.com,68,False,Levi,male,83,64,646,Mason,93,False,86,37
4,97,Software Engineer,80,,michael.vang.647@gslingacademy.com,94,False,Michael,male,68,79,647,Vang,92,False,94,31
0,60,Software Engineer,95,,april.humphrey.648@gslingacademy.com,90,False,April,female,90,89,648,Humphrey,93,False,92,27
4,93,Business Owner,86,,steven.hancock.649@gslingacademy.com,61,True,Steven,male,82,76,649,Hancock,75,True,92,4
4,60,Banker,84,,chelsea.olson.650@gslingacademy.com,90,False,Chelsea,female,89,95,650,Olson,77,False,77,30
4,64,Banker,62,,emily.huang.651@gslingacademy.com,99,False,Emily,female,66,85,651,Huang,88,False,68,34
1,44,Accountant,87,89.0,rachel.jones.652@gslingacademy.com,85,False,Rachel,female,61,77,652,Jones,91,False,94,26
5,72,Lawyer,80,,philip.walker.653@gslingacademy.com,91,True,Philip,male,85,91,653,Walker,84,False,90,27
1,70,Software Engineer,83,,laura.rivera.654@gslingacademy.com,71,True,Laura,female,80,85,654,Rivera,98,False,89,32
4,97,Doctor,66,,pamela.henry.655@gslingacademy.com,64,False,Pamela,female,76,63,655,Henry,70,False,75,39
7,71,Banker,87,,nicole.davidson.656@gslingacademy.com,93,True,Nicole,female,84,88,656,Davidson,77,False,63,29
0,95,Doctor,82,,jeffery.parker.657@gslingacademy.com,78,True,Jeffery,male,69,72,657,Parker,79,False,77,27
3,63,Software Engineer,99,,christopher.banks.658@gslingacademy.com,83,True,Christopher,male,60,70,658,Banks,90,True,93,35
5,64,Banker,78,,tara.griffin.659@gslingacademy.com,87,True,Tara,female,76,99,659,Griffin,93,True,79,31
4,73,Banker,75,,lisa.lloyd.660@gslingacademy.com,78,False,Lisa,female,61,89,660,Lloyd,94,True,74,13
4,68,Banker,93,,elizabeth.maldonado.661@gslingacademy.com,92,True,Elizabeth,female,99,86,661,Maldonado,88,False,79,12
10,83,Business Owner,70,,samuel.anderson.662@gslingacademy.com,86,True,Samuel,male,77,95,662,Anderson,83,True,94,0
2,95,Construction Engineer,68,,xavier.johnson.663@gslingacademy.com,80,True,Xavier,male,88,75,663,Johnson,91,False,88,21
3,97,Lawyer,96,,lauren.cordova.664@gslingacademy.com,93,True,Lauren,female,72,94,664,Cordova,96,True,100,28
8,96,Accountant,88,90.0,amanda.hawkins.665@gslingacademy.com,85,False,Amanda,female,94,88,665,Hawkins,96,True,93,35
9,63,Lawyer,69,,donald.coleman.666@gslingacademy.com,87,True,Donald,male,69,93,666,Coleman,95,False,84,24
1,66,Accountant,84,85.0,phillip.bennett.667@gslingacademy.com,83,False,Phillip,male,81,87,667,Bennett,93,False,86,28
9,66,Business Owner,95,,john.george.668@gslingacademy.com,67,True,John,male,70,95,668,George,80,False,64,0
6,71,Business Owner,79,,katherine.moore.669@gslingacademy.com,86,True,Katherine,female,82,100,669,Moore,79,True,88,0
2,100,Real Estate Developer,82,,jose.dominguez.670@gslingacademy.com,72,False,Jose,male,87,70,670,Dominguez,89,False,98,3
3,75,Unknown,68,,lauren.morrow.671@gslingacademy.com,70,False,Lauren,female,88,79,671,Morrow,72,False,95,16
2,90,Lawyer,84,,katie.davenport.672@gslingacademy.com,85,True,Katie,female,91,91,672,Davenport,77,False,86,26
10,50,Business Owner,63,,michelle.martinez.673@gslingacademy.com,87,True,Michelle,female,78,86,673,Martinez,82,True,53,4
2,72,Construction Engineer,96,,jeremiah.stanley.674@gslingacademy.com,90,False,Jeremiah,male,86,89,674,Stanley,92,False,88,24
5,72,Software Engineer,88,,isaac.tucker.675@gslingacademy.com,76,True,Isaac,male,71,93,675,Tucker,93,False,93,27
2,62,Software Engineer,72,,hannah.garcia.676@gslingacademy.com,69,False,Hannah,female,90,74,676,Garcia,99,True,94,39
2,81,Unknown,61,,thomas.nelson.677@gslingacademy.com,96,False,Thomas,male,96,77,677,Nelson,100,False,74,21
4,81,Lawyer,89,,william.kennedy.678@gslingacademy.com,86,True,William,male,98,93,678,Kennedy,81,False,85,29
6,55,Business Owner,78,,jennifer.williams.679@gslingacademy.com,91,True,Jennifer,female,81,91,679,Williams,71,False,53,3
2,84,Designer,73,,jeffrey.price.680@gslingacademy.com,75,True,Jeffrey,male,73,65,680,Price,80,False,96,15
5,78,Accountant,84,88.0,zachary.burns.681@gslingacademy.com,72,False,Zachary,male,79,88,681,Burns,94,False,83,19
3,88,Software Engineer,87,,curtis.duffy.682@gslingacademy.com,60,False,Curtis,male,62,64,682,Duffy,98,False,92,37
1,36,Accountant,62,90.0,allison.alvarado.683@gslingacademy.com,79,False,Allison,female,69,81,683,Alvarado,93,False,91,24
4,95,Unknown,64,,jeffery.kelley.684@gslingacademy.com,82,False,Jeffery,male,87,68,684,Kelley,86,False,65,29
1,95,Lawyer,90,,kenneth.clark.685@gslingacademy.com,93,True,Kenneth,male,76,99,685,Clark,86,False,72,27
2,92,Unknown,83,,hayley.case.686@gslingacademy.com,81,False,Hayley,female,80,68,686,Case,87,False,66,20
0,86,Accountant,90,91.0,vanessa.martinez.687@gslingacademy.com,86,False,Vanessa,female,90,87,687,Martinez,97,False,100,35
0,98,Doctor,78,,tara.thomas.688@gslingacademy.com,62,False,Tara,female,80,75,688,Thomas,79,False,80,29
2,36,Artist,35,,aaron.williamson.689@gslingacademy.com,87,True,Aaron,male,41,94,689,Williamson,40,False,37,7
3,86,Unknown,88,,phillip.nelson.690@gslingacademy.com,87,False,Phillip,male,66,61,690,Nelson,76,False,68,10
1,71,Construction Engineer,80,,michael.hinton.691@gslingacademy.com,88,True,Michael,male,89,66,691,Hinton,94,False,90,29
